lyrics,artiste
Until the end starts I know it ain't easy giving up your heart,Adele
I know it ain't easy giving up your heart,Adele
Nobody's perfect,Adele
Trust me I've learned it,Adele
Nobody's perfect,Adele
Trust me I've learned it,Adele
Nobody's perfect,Adele
Trust me I've learned it,Adele
Nobody's perfect,Adele
Trust me I've learned it So I dare you to let me be your your one and only,Adele
I promise I'm worthy,Adele
To hold in your arms,Adele
So come on and give me the chance,Adele
To prove that I am the one who can walk that mile,Adele
Until the end starts Come on and give me the chance,Adele
To prove that I am the one who can walk that mile,Adele
Until the end starts If you're not the one for me,Adele
Then I'll come back and bring you to your knees,Adele
If you're not the one for me,Adele
Why do I hate the idea of being free?,Adele
And if I'm not the one for you,Adele
You've gotta stop holding me the way you do,Adele
Oh when you found that the one for you,Adele
Why have we been through what we have been through It's so cold out here in your wilderness,Adele
I want you to be my keeper,Adele
But not if you are so reckless If you're gonna let me down let me down gently,Adele
Don't pretend that you don't want me,Adele
If you're gonna let me down let me down gently,Adele
Don't pretend that you don't want me,Adele
You never seem to make it through the door,Adele
And who are you hiding from?,Adele
It ain't no life to live like you're on the run,Adele
Have I ever asked for much?,Adele
The only thing that I want is your love If you're gonna let me down let me down gently,Adele
Don't pretend that you don't want me,Adele
If you're gonna let me down let me down gently,Adele
Don't pretend that you don't want me,Adele
I want you to be my keeper,Adele
But not if you are so reckless If you're gonna let me down let me down gently,Adele
Don't pretend that you don't want me,Adele
If you're gonna let me down let me down gently,Adele
Don't pretend that you don't want me,Adele
Say it ain't so say it ain't so,Adele
Say it ain't so say it ain't so,Adele
Say it ain't so say it ain't so,Adele
Say it ain't so say it ain't so,Adele
Say it ain't so say it ain't so,Adele
Say it ain't so say it ain't so,Adele
Say it ain't so say it ain't so,Adele
Missing out the cracks in the pavement,Adele
And turning my heel and strutting my feet,Adele
Memories are fresh,Adele
Round my hometown,Adele
Ooh the people I've met,Adele
Are the wonders of my world,Adele
Are the wonders of my world,Adele
Are the wonders of this world,Adele
Are the wonders of now I like it in the city when the air is so thick and opaque,Adele
I love to see everybody in short skirts shorts and shades,Adele
I like it in the city when two worlds collide,Adele
You get the people and the government,Adele
Everybody taking different sides Shows that we ain't gonna stand shit,Adele
Shows that we are united,Adele
Shows that we ain't gonna take it,Adele
Shows that we ain't gonna stand shit,Adele
Shows that we are united Round my hometown,Adele
Memories are fresh,Adele
Round my hometown,Adele
Ooh the people I've met yea Are the wonders of my world,Adele
Are the wonders of my world,Adele
Are the wonders of this world,Adele
Are the wonders of my world,Adele
Of my world yeah,Adele
Of my world,Adele
Of my world yeah Close enough to start a war,Adele
All that I have is on the floor,Adele
God only knows what we're fighting for,Adele
All that I say you always say more I can't keep up with your turning tables,Adele
Under your thumb I can't breathe So I won't let you close enough to hurt me,Adele
No I won't ask you you to just desert me,Adele
I can't give you what you think you gave me,Adele
It's time to say goodbye to turning tables to turning tables Under haunted skies I see,Adele
Where love is lost your ghost is found,Adele
I've braved a hundred storms to leave you,Adele
As hard as you try no I will never be knocked down I can't keep up with your turning tables,Adele
Under your thumb I can't breathe So I won't let you close enough to hurt me no,Adele
I won't ask you you to just desert me,Adele
I can't give you what you think you gave me,Adele
It's time to say goodbye to turning tables turning tables Next time I'll be braver I'll be my own savior,Adele
When the thunder calls to me,Adele
Next time I'll be braver I'll be my own savior,Adele
Standing on my own two feet I won't let you close enough to hurt me no,Adele
I won't ask you you to just desert me,Adele
I can't give you what you think you gave me,Adele
It's time to say goodbye to turning tables to turning tables,Adele
Turning tables yeah turning This is the end,Adele
Hold your breath and count to ten,Adele
Feel the earth move and then,Adele
Hear my heart burst again For this is the end,Adele
I've drowned and dreamt this moment,Adele
So overdue I owe them,Adele
Swept away I'm stolen Let the sky fall,Adele
When it crumbles,Adele
We will stand tall,Adele
Face it all together Let the sky fall,Adele
When it crumbles,Adele
We will stand tall,Adele
Face it all together,Adele
At skyfall,Adele
At skyfall Skyfall is where we start,Adele
A thousand miles and poles apart,Adele
Where worlds collide and days are dark,Adele
You may have my number you can take my name,Adele
But you'll never have my heart Let the sky fall,Adele
When it crumbles,Adele
We will stand tall,Adele
Face it all together Let the sky fall,Adele
When it crumbles,Adele
We will stand tall,Adele
Face it all together,Adele
At skyfall Where you go I go,Adele
What you see I see,Adele
I know I'd never be me,Adele
Without the security,Adele
Of your loving arms,Adele
Keeping me from harm,Adele
Put your hand in my hand,Adele
And we'll stand Let the sky fall,Adele
When it crumbles,Adele
We will stand tall,Adele
Face it all together Let the sky fall,Adele
When it crumbles,Adele
We will stand tall,Adele
Face it all together,Adele
At skyfall Let the sky fall,Adele
We will stand tall,Adele
At skyfall Just the guitar This was all you none of it me,Adele
You put your hands all over my body and told me umm,Adele
You told me you were ready,Adele
For the big one for the big jump,Adele
I'd be your last love everlasting you and me,Adele
That was what you told me I'm giving you up,Adele
I've forgiven it all,Adele
You set me free oh Send my love to your new lover,Adele
Treat her better,Adele
We've gotta let go of all of our ghosts,Adele
We both know we ain't kids no more,Adele
Send my love to your new lover,Adele
Treat her better,Adele
We've gotta let go of all of our ghosts,Adele
We both know we ain't kids no more I was too strong you were trembling,Adele
Baby I'm so rising,Adele
I was running you were walking,Adele
There's only one way down I'm giving you up,Adele
I've forgiven it all,Adele
You set me free oh Send my love to your new lover,Adele
Treat her better,Adele
We gotta let go of all of our ghosts,Adele
We've both know we ain't kids no more,Adele
Send my love to your new lover,Adele
Treat her better,Adele
We've gotta let go of all of our ghosts,Adele
We both know we ain't kids no more If you're ready if you're ready,Adele
If you're ready I am ready,Adele
If you're ready if you're ready,Adele
We both know we ain't kids no more,Adele
No we ain't kids no more I'm giving you up,Adele
I've forgiven it all,Adele
You set me free Send my love to your new lover,Adele
Treat her better,Adele
We've gotta let go of all of our ghosts,Adele
We both know we ain't kids no more,Adele
Send my love to your new lover,Adele
Treat her better,Adele
We've gotta let go of all of our ghosts,Adele
We've gotta let go of all of our ghosts,Adele
We both know we ain't kids no more,Adele
We've gotta let go of all of our ghosts,Adele
We both know we ain't kids no more Just the guitar This was all you none of it me,Adele
You put your hands all over my body and told me umm,Adele
You told me you were ready,Adele
For the big one for the big jump,Adele
I'd be your last love everlasting you and me,Adele
That was what you told me I'm giving you up,Adele
I've forgiven it all,Adele
You set me free oh Send my love to your new lover,Adele
Treat her better,Adele
We've gotta let go of all of our ghosts,Adele
We both know we ain't kids no more,Adele
Send my love to your new lover,Adele
Treat her better,Adele
We've gotta let go of all of our ghosts,Adele
We both know we ain't kids no more I was too strong you were trembling,Adele
Baby I'm so rising,Adele
I was running you were walking,Adele
There's only one way down I'm giving you up,Adele
I've forgiven it all,Adele
You set me free oh Send my love to your new lover,Adele
Treat her better,Adele
We gotta let go of all of our ghosts,Adele
We've both know we ain't kids no more,Adele
Send my love to your new lover,Adele
Treat her better,Adele
We've gotta let go of all of our ghosts,Adele
We both know we ain't kids no more If you're ready if you're ready,Adele
If you're ready I am ready,Adele
If you're ready if you're ready,Adele
We both know we ain't kids no more,Adele
No we ain't kids no more I'm giving you up,Adele
I've forgiven it all,Adele
You set me free Send my love to your new lover,Adele
Treat her better,Adele
We've gotta let go of all of our ghosts,Adele
We both know we ain't kids no more,Adele
Send my love to your new lover,Adele
Treat her better,Adele
We've gotta let go of all of our ghosts,Adele
We've gotta let go of all of our ghosts,Adele
We both know we ain't kids no more,Adele
We've gotta let go of all of our ghosts,Adele
We both know we ain't kids no more I only wanted to have fun,Adele
Learning to fly learning to run,Adele
I let my heart decide the way,Adele
When I was young,Adele
Deep down I must have always known,Adele
That this would be inevitable,Adele
To earn my stripes I'd have to pay,Adele
And bear my soul I know I'm not the only one,Adele
Who regrets the things they've done,Adele
Sometimes I just feel it's only me,Adele
Who can't stand the reflection that they see,Adele
I wish I could live a little more,Adele
Look up to the sky not just the floor,Adele
I feel like my life is flashing by,Adele
And all I can do is watch and cry,Adele
I miss the air I miss my friends,Adele
I miss my mother I miss it when,Adele
Life was a party to be thrown,Adele
But that was a million years ago When I walk around all of the streets,Adele
Where I grew up and found my feet,Adele
They can't look me in the eye,Adele
It's like they're scared of me,Adele
I try to think of things to say,Adele
Like a joke or a memory,Adele
But they don't recognize me now,Adele
In the light of day I know I'm not the only one,Adele
Who regrets the things they've done,Adele
Sometimes I just feel it's only me,Adele
Who never became who they thought they'd be,Adele
I wish I could live a little more,Adele
Look up to the sky not just the floor,Adele
I feel like my life is flashing by,Adele
And all I can do is watch and cry,Adele
I miss the air I miss my friends,Adele
I miss my mother I miss it when,Adele
Life was a party to be thrown,Adele
But that was a million years ago,Adele
A million years ago Looking for some education,Adele
Made my way into the night,Adele
All that bullshit conversation,Adele
Baby can't you read the signs? I won't bore you with the details baby,Adele
I don't even wanna waste your time,Adele
Let's just say that maybe,Adele
You could help me ease my mind,Adele
